jdtdb,            calendar_date,                      x,                      y,                      z,
2459716.500000000, A.D. 2022-May-17 00:00:00.0000,  8.195498941135149E+08,  1.742510131231190E+07, -9.854203189525187E+06,
2459717.500000000, A.D. 2022-May-18 00:00:00.0000,  8.176099502426194E+08,  1.982190436376794E+07, -8.824393328279357E+06,
2459718.500000000, A.D. 2022-May-19 00:00:00.0000,  8.156445653435204E+08,  2.218591078162394E+07, -7.808747375864851E+06,
2459719.500000000, A.D. 2022-May-20 00:00:00.0000,  8.136544088366884E+08,  2.451691948080272E+07, -6.807338265771433E+06,
2459720.500000000, A.D. 2022-May-21 00:00:00.0000,  8.116398596075286E+08,  2.681447875058927E+07, -5.820365001027714E+06,
2459721.500000000, A.D. 2022-May-22 00:00:00.0000,  8.096015378679250E+08,  2.907832019919872E+07, -4.847936329034376E+06,
2459722.500000000, A.D. 2022-May-23 00:00:00.0000,  8.075400379604819E+08,  3.130796456673671E+07, -3.890264221997014E+06,
2459723.500000000, A.D. 2022-May-24 00:00:00.0000,  8.054558463964264E+08,  3.350314253467510E+07, -2.947465415666037E+06,
2459724.500000000, A.D. 2022-May-25 00:00:00.0000,  8.033497443458983E+08,  3.566333439016301E+07, -2.019772624380120E+06,
2459725.500000000, A.D. 2022-May-26 00:00:00.0000,  8.012223471810683E+08,  3.778825356645466E+07, -1.107311313062090E+06,
2459726.500000000, A.D. 2022-May-27 00:00:00.0000,  7.990744659754263E+08,  3.987768356421113E+07, -2.101722505668488E+05,
2459727.500000000, A.D. 2022-May-28 00:00:00.0000,  7.969065749541190E+08,  4.193125231469816E+07,  6.714722410533263E+05,
2459728.500000000, A.D. 2022-May-29 00:00:00.0000,  7.947194448470317E+08,  4.394873370792149E+07,  1.537523969110774E+06,
2459729.500000000, A.D. 2022-May-30 00:00:00.0000,  7.925137518351500E+08,  4.592972891872673E+07,  2.387799842601938E+06,
2459730.500000000, A.D. 2022-May-31 00:00:00.0000,  7.902901261203835E+08,  4.787408434239521E+07,  3.222231184104304E+06,
2459731.500000000, A.D. 2022-Jun-01 00:00:00.0000,  7.880494016132010E+08,  4.978136005466072E+07,  4.040615917919819E+06,
2459732.500000000, A.D. 2022-Jun-02 00:00:00.0000,  7.857922960945448E+08,  5.165140414844207E+07,  4.842887625695434E+06,
2459733.500000000, A.D. 2022-Jun-03 00:00:00.0000,  7.835197084931977E+08,  5.348408885118356E+07,  5.628993835479360E+06,
2459734.500000000, A.D. 2022-Jun-04 00:00:00.0000,  7.812321540506557E+08,  5.527921856464706E+07,  6.398842639172765E+06,
2459735.500000000, A.D. 2022-Jun-05 00:00:00.0000,  7.789304654336276E+08,  5.703667645978559E+07,  7.152385642944944E+06,
2459736.500000000, A.D. 2022-Jun-06 00:00:00.0000,  7.766153099211427E+08,  5.875620859890807E+07,  7.889506463338879E+06,
2459737.500000000, A.D. 2022-Jun-07 00:00:00.0000,  7.742873670173584E+08,  6.043780587734312E+07,  8.610204843217788E+06,
2459738.500000000, A.D. 2022-Jun-08 00:00:00.0000,  7.719474157419211E+08,  6.208114072614224E+07,  9.314330760295082E+06,
2459739.500000000, A.D. 2022-Jun-09 00:00:00.0000,  7.695961814738898E+08,  6.368619777372466E+07,  1.000188334390213E+07,
2459740.500000000, A.D. 2022-Jun-10 00:00:00.0000,  7.672345407797949E+08,  6.525292994820532E+07,  1.067284960636882E+07,
2459741.500000000, A.D. 2022-Jun-11 00:00:00.0000,  7.648629664706073E+08,  6.678130088846445E+07,  1.132721515677968E+07,
2459742.500000000, A.D. 2022-Jun-12 00:00:00.0000,  7.624822517563269E+08,  6.827126615951438E+07,  1.196496881912413E+07,
