Housing-End,Housing-Start,Year,Clients
At risk,At risk,2014-15,79698
At risk,At risk,2015-16,86473
At risk,At risk,2016-17,87789
At risk,At risk,2017-18,87193
At risk,Homeless,2014-15,23701
At risk,Homeless,2015-16,26408
At risk,Homeless,2016-17,27970
At risk,Homeless,2017-18,26992
Homeless,At risk,2014-15,8693
Homeless,At risk,2015-16,9246
Homeless,At risk,2016-17,9205
Homeless,At risk,2017-18,9391
Homeless,Homeless,2014-15,41391
Homeless,Homeless,2015-16,44567
Homeless,Homeless,2016-17,44499
Homeless,Homeless,2017-18,43697
Unknown,At risk,2014-15,5456
Unknown,At risk,2015-16,6190
Unknown,At risk,2016-17,6385
Unknown,At risk,2017-18,6095
Unknown,Homeless,2014-15,7107
Unknown,Homeless,2015-16,8340
Unknown,Homeless,2016-17,8410
Unknown,Homeless,2017-18,7607
